Date,Biochemical Oxygen Demand,Conductivity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Temperature,Turbidity,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,1.178695086,223.1776187,10.04412553,51.09336874,5.409775085,25.45334774,7.699859797,0.362390172,7.820183816,0.3,124.9780344
02-01-2020,1.174919189,219.4901732,10.00548204,50.42255239,5.329834527,25.11058648,7.727272501,0.354838377,7.806220645,0.3,123.4676753
03-01-2020,1.178604841,223.2639458,10.04145736,51.09478185,5.399141581,25.47838576,7.634686524,0.362209682,7.820680845,0.7,124.9419364
04-01-2020,1.182761575,227.508441,10.08214708,51.85177006,5.477888168,25.89098166,7.177466402,0.37052315,7.836933934,0.7,126.6046298
05-01-2020,1.173099476,217.9337195,9.984652317,50.12132999,5.28027732,24.98742507,7.631854054,0.351198952,7.800542021,10.2,122.7397902
06-01-2020,1.172664725,217.5859368,9.979435148,50.05177174,5.267233963,24.96258551,8.04538931,0.350329452,7.79929996,10.2,122.5658903
07-01-2020,1.181752156,226.7598981,10.06944413,51.69616227,5.444656,25.84453718,7.487843293,0.368504311,7.834330795,1.5,126.2008623
08-01-2020,1.177059973,222.1537844,10.02166161,50.86017624,5.346508852,25.4140568,7.393341416,0.359119945,7.816865667,1.5,124.323989
09-01-2020,1.170138287,215.3176813,9.951588923,49.62283108,5.20379601,24.77115008,7.607524292,0.345276574,7.790904876,0,121.5553147
10-01-2020,1.175026117,220.2905817,9.999616523,50.51114753,5.297299109,25.25286155,7.577706495,0.355052234,7.809930277,0,123.5104469
11-01-2020,1.169322071,214.6710687,9.941730746,49.49287261,5.17899158,24.72572056,7.745674967,0.343644144,7.788603116,0,121.2288287
12-01-2020,1.168890085,214.3230515,9.936571179,49.42351193,5.166153354,24.70057318,7.214254324,0.342780169,7.787357308,0,121.0560338
13-01-2020,1.172188557,217.7049061,9.968722083,50.02557519,5.227953696,25.03059572,7.615320063,0.349377114,7.800319975,0,122.3754229
14-01-2020,1.160459685,206.0588036,9.85060566,47.92265514,4.989237756,23.92932594,7.569164876,0.32591937,7.756032698,0,117.6838739
15-01-2020,1.161037922,206.7191742,9.855566706,48.03495122,4.99669586,24.00004057,7.398898871,0.327075845,7.758626618,0,117.9151689
16-01-2020,1.166734373,212.497096,9.911716487,49.06845939,5.106551267,24.55807806,7.483579613,0.338468744,7.780715341,0,120.193749
17-01-2020,1.163965086,209.808596,9.883215758,48.57806648,5.047126211,24.3097244,7.612484043,0.332930172,7.770550376,0,119.0860343
18-01-2020,1.170531861,216.4554488,9.94808274,49.7680938,5.174457858,24.9503844,7.563468746,0.346063723,7.795947984,0,121.7127446
19-01-2020,1.163718215,209.7211468,9.879152833,48.54957188,5.034217715,24.3165789,7.124379602,0.33243643,7.770369065,0,118.987286
20-01-2020,1.160677808,206.7593275,9.847962885,48.01015739,4.969480184,24.04198543,7.520929315,0.326355616,7.75916079,0,117.7711232
21-01-2020,1.175398018,221.5573458,9.994386907,50.66757605,5.259993988,25.4587308,7.319549882,0.355796036,7.815608296,0,123.6592073
22-01-2020,1.16613301,212.3693434,9.90096678,49.0075752,5.070843576,24.59101678,7.33303701,0.337266022,7.78067972,0,119.9532042
23-01-2020,1.167291962,213.6044739,9.911794493,49.22380431,5.090213617,24.71590344,7.317868908,0.339583923,7.785457531,0,120.4167846
24-01-2020,1.159080854,205.4686975,9.828930103,47.75333806,4.922224897,23.94824201,7.255880247,0.323161708,7.754535842,0,117.1323415
25-01-2020,1.163330469,209.7927731,9.870681642,48.5257148,5.003494153,24.36715024,7.522797694,0.331660937,7.771079425,0,118.8321875
26-01-2020,1.166402981,212.9388533,9.900671082,49.08612379,5.061265986,24.67378342,7.240244714,0.337805961,7.783134558,0,120.0611923
27-01-2020,1.159414653,206.0231783,9.830061257,47.83549001,4.917866725,24.02206712,7.008190047,0.323829304,7.756858324,0,117.2658608
28-01-2020,1.167071194,213.751438,9.905909497,49.22083931,5.06741167,24.76492211,7.1463099,0.339142388,7.786367615,0,120.3284775
29-01-2020,1.161591623,208.3426278,9.850406182,48.24159262,4.954282221,24.25653643,7.252324935,0.328183246,7.765830015,0,118.1366492
30-01-2020,1.162864671,209.6854589,9.862438844,48.47771961,4.97625407,24.39107106,7.458977656,0.330729343,7.771012022,0,118.6458687
31-01-2020,1.160893186,207.7827568,9.84203615,48.12973055,4.933385175,24.21641216,7.313735709,0.326786372,7.763829141,0,117.8572744
01-02-2020,1.173437784,220.3951193,9.966804488,50.39453466,5.180888916,25.4240433,6.994920534,0.351875568,7.811940774,0,122.8751136
