Date,Biochemical Oxygen Demand,Conductivity,Temperature,Turbidity,Dissolved Oxygen,Fecal Coliform,Fecal Streptococci,Nitrate,pH,Rainfall,Total Coliform
01-01-2020,1.824359107,307.2037776,15.2,39.12849513,6.808547729,30558.84139,634.8211944,0.037811139,7.359339181,0,41278.69322
02-01-2020,1.687,296.2689851,15.4,18.56776361,6.513719874,16870,48.2,0.00097893,7.3,0,33907.99683
03-01-2020,1.867387241,311.0620018,16.4,46.0200496,6.904701821,34843.93923,820.9289594,0.04987469,7.378075277,0,43682.54552
04-01-2020,2.082057565,327.5150176,14.5,76.55882168,7.339686334,56301.07022,1687.432454,0.104272507,7.467643122,2.4,54557.15833
05-01-2020,1.687,296.4292674,13.8,18.34643655,6.507,16870,48.2,0.000176631,7.3,5.1,33740
06-01-2020,1.687,297.1488159,13.3,19.49187014,6.521608115,16870,48.2,0.00206742,7.3,0,34105.20286
07-01-2020,2.108289084,330.6880669,14.1,81.88873441,7.411440336,58890.37827,1819.095131,0.113326367,7.480212738,4.1,56351.00841
08-01-2020,1.91739427,316.8216077,15.5,55.78298815,7.036861138,39788.24693,1065.509276,0.066535592,7.401633141,9.9,46986.52845
09-01-2020,1.687,295.314142,16.1,17.593,6.507,16870,48.2,0,7.3,0,33740
10-01-2020,1.873448403,314.4993163,14.2,50.96907743,6.964547782,35366.32978,911.3168947,0.057564749,7.384759195,0,45178.69456
11-01-2020,1.687,297.2516412,12.8,18.51628159,6.507,16870,48.2,0,7.3,0,33740
12-01-2020,1.687,298.1876667,10.6,19.99472571,6.518166358,16870,48.2,0.001842098,7.3,0,34019.15894
13-01-2020,1.818258212,311.9991698,9.8,45.49580654,6.880393289,29801.30042,726.9042915,0.047160463,7.364149672,0,43074.8322
14-01-2020,1.687,295.225,11.9,17.593,6.507,16870,48.2,0,7.3,0,33740
15-01-2020,1.687,295.225,14.1,17.593,6.507,16870,48.2,0,7.3,0,33740
16-01-2020,1.687,300.7721023,17.8,23.62875759,6.561276127,16870,70.49880724,0.007400612,7.3,0,35096.90318
17-01-2020,1.687,295.225,19.8,17.593,6.507,16870,48.2,0,7.3,0,33740
18-01-2020,1.869332705,319.0268671,17.1,57.04142077,7.033696037,34819.0062,1002.099584,0.066547665,7.389810961,1,46907.40093
19-01-2020,1.687,298.200426,14.7,17.81733992,6.507,16870,48.2,0,7.3,0,33740
20-01-2020,1.687,295.225,13.8,17.593,6.507,16870,48.2,0,7.3,0,33740
21-01-2020,2.169863391,343.7557479,13,102.1251248,7.669782678,64810.62698,2252.766122,0.146212115,7.517572134,0,62809.56696
22-01-2020,1.770372803,314.5675248,13.7,47.25989911,6.883178639,24839.85388,671.958047,0.047940896,7.352889613,0,43144.46598
23-01-2020,1.849429014,321.2918741,15.3,59.42086789,7.054013196,32723.15546,1005.815324,0.069351014,7.386804366,0,47415.32991
24-01-2020,1.687,295.7800123,13.9,17.593,6.507,16870,48.2,0,7.3,0,33740
25-01-2020,1.719369059,313.1913826,14.4,43.48629601,6.820357369,19670.73183,522.2537955,0.040260107,7.335149359,0,41573.93423
26-01-2020,1.886333235,326.5720774,13.7,68.04132937,7.168019826,36343.0545,1209.145487,0.08377815,7.405628847,0,50265.49565
27-01-2020,1.687,305.3358252,15.1,27.96793685,6.592344155,16870,49.15871034,0.011880373,7.3,0,35873.60387
28-01-2020,1.968862528,334.5400237,17.4,82.04005528,7.361530401,44546.068,1578.696117,0.108091762,7.442358799,0,55103.26003
29-01-2020,1.743242654,318.537874,18.6,51.71712472,6.925000107,21958.27454,696.6034085,0.05358999,7.350025543,0,44190.00269
30-01-2020,1.827583899,325.8025911,16.2,64.81594699,7.108708576,30366.0376,1054.793867,0.076619453,7.386334509,0,48782.71442
31-01-2020,1.762961624,321.914549,14.8,57.08669036,6.994802082,23876.90128,817.5627748,0.062448413,7.360860148,0,45935.05206
01-02-2020,2.364665107,368.0201591,15.6,142.669463,8.213854632,84019.80118,3246.060936,0.214898602,7.625970652,0,76411.36578
02-02-2020,1.925505651,336.0799797,15.2,82.55744907,7.351484197,40075.87588,1511.527143,0.107172248,7.445778538,0,54852.10493
03-02-2020,1.687,319.0228758,14.2,50.21800867,6.885796997,16870,570.1767328,0.049032604,7.347861975,0,43209.9249
04-02-2020,2.148561964,354.858368,15.5,116.6023952,7.830383458,62323.98663,2449.19352,0.167178456,7.542509818,0,66824.58647
05-02-2020,1.687,319.8062487,16.3,50.6543715,6.884441311,16870,546.97597,0.049009497,7.344908711,0,43176.0328
06-02-2020,2.022993949,347.5620394,15.3,101.9390645,7.613187789,49707.64071,1993.96161,0.14017786,7.494730678,0,61394.69471
07-02-2020,1.687,310.3107608,15.8,31.86866891,6.608226823,16870,48.2,0.014634012,7.3,0,36270.67058
08-02-2020,1.687,323.7003637,16.3,56.31951777,6.953507203,16870,653.0761431,0.057871531,7.355060524,4.1,44902.68008
09-02-2020,2.0549602,353.2710961,15.2,110.9669016,7.730105697,52811.309,2195.262529,0.15502499,7.514744661,0,64317.64245
10-02-2020,2.197456988,365.0954956,16.1,132.4797207,8.033293519,67029.06801,2790.466267,0.193003267,7.576189782,0,71897.338
11-02-2020,2.072925475,356.908854,15.9,116.6306854,7.802682044,54543.54559,2317.913416,0.16425776,7.526867556,0.5,66132.05109
12-02-2020,2.016059341,353.8128554,16.4,110.2764411,7.707653159,48824.11923,2116.371113,0.152461183,7.505654333,0,63756.32898
13-02-2020,1.983831478,352.5801204,17.7,107.3927165,7.66214711,45568.08794,2013.723249,0.146856038,7.494695836,0,62618.67775
14-02-2020,1.712698902,333.4445742,19.4,71.08301108,7.13907231,18421.16298,955.7900987,0.081555857,7.384637412,0,49541.80775
15-02-2020,1.908320079,349.3302465,18.1,100.1390218,7.549740008,37949.20112,1765.197651,0.132974518,7.468282681,0,59808.50018
16-02-2020,1.983719233,356.2135943,18.1,112.3836454,7.720192894,45454.6348,2094.034822,0.154367332,7.502072496,0,64069.82233
17-02-2020,2.362577258,385.8703203,19.9,167.1317065,8.497786931,83305.56356,3637.017114,0.251653771,7.661807316,0,83509.67327
18-02-2020,2.203843538,375.2212607,18.8,146.635613,8.200415001,67396.93634,3029.933906,0.214570418,7.598502732,0.5,76075.375
19-02-2020,1.709498769,339.4145952,19,79.17215066,7.232032537,17926.83308,1080.699725,0.093611677,7.395967404,37.1,51865.81344
20-02-2020,2.225990829,379.4335385,20.6,153.2435051,8.285529279,69540.05202,3175.097739,0.225388737,7.61289263,0.5,78203.23199
21-02-2020,2.068708139,368.9318424,22.4,133.0035332,7.991675991,53775.44599,2574.673211,0.188747919,7.550268682,0,70856.89976
22-02-2020,2.012128334,365.9949461,21.1,126.8785765,7.899421805,48080.78936,2377.328176,0.177307836,7.529454793,0,68550.54512
23-02-2020,2.336557207,391.6453966,21.8,174.1109137,8.569372111,80486.67213,3704.277215,0.261144136,7.666759631,0,85299.30277
24-02-2020,2.451609796,401.6039313,22.4,192.0461132,8.820750737,91954.60917,4193.971823,0.292659768,7.717209386,0,91583.76842
25-02-2020,2.441687967,402.2002961,17.9,192.4998946,8.82235511,90924.79813,4184.010727,0.292954385,7.715824778,0,91623.87776
26-02-2020,2.029219259,372.6161591,18.4,136.6115672,8.019033953,49640.00403,2564.09527,0.192634049,7.5474297,0.1,71540.84883
27-02-2020,2.171278185,384.6317088,18.3,158.3710126,8.324929887,63807.68948,3162.514631,0.230966558,7.609149691,0,79188.24718
28-02-2020,2.340062757,398.6613923,19.3,183.8853978,8.684432483,80647.66691,3868.051914,0.276000582,7.681978955,0,88175.81205
29-02-2020,2.509862488,412.7765173,20.8,209.5546966,9.046114267,97588.89916,4577.856162,0.321307658,7.755248412,1,97217.85666
01-03-2020,2.173896599,388.9681161,22,164.4290374,8.043012284,63953.31973,3264.79519,0.240191743,7.618674748,3.5,80975.17844
02-03-2020,2.259344559,396.7742375,22.7,178.3129798,8.227638267,72458.88696,3637.577744,0.264446853,7.656978894,6.5,85806.58615
03-03-2020,2.05225737,382.6482921,23.3,151.2530952,7.827273233,51710.71274,2840.398649,0.215584882,7.573915608,11.9,76014.46427
04-03-2020,2.045474588,383.5528307,24.3,152.2463486,7.827592201,50992.76445,2844.606896,0.216814856,7.573981785,0,76240.62402
05-03-2020,2.544531545,422.4025839,23.9,224.0671108,8.839661724,100858.587,4872.334524,0.344519741,7.783954714,0,101761.6645
06-03-2020,2.690590827,434.7843251,22.8,246.4775652,9.145802835,115424.4507,5488.222544,0.383989313,7.847469468,2,109635.5466
07-03-2020,2.361473968,411.5342462,22.1,202.3721454,8.501654447,82472.52099,4203.547713,0.304678078,7.713828724,7.1,93753.17782
08-03-2020,2.635834059,433.5509043,21.7,242.7616998,9.064518573,109868.1189,5332.912977,0.376248432,7.830605513,1,108047.0429
09-03-2020,2.496349443,424.5347485,20.2,225.22061,8.799747703,95879.09053,4807.022244,0.344369075,7.775673797,0,101650.8883
10-03-2020,2.268987628,408.9329136,21.1,195.3837386,8.359272649,73102.19891,3929.736054,0.290531,7.684288931,0.1,90862.91804
11-03-2020,2.526873434,429.7293314,20.9,233.4879693,8.889338823,98849.93786,4993.544148,0.358014521,7.794261167,0,104339.2013
12-03-2020,2.825804247,453.6083747,24.7,277.3443434,9.501536764,128702.0582,6221.626512,0.43576809,7.921273188,0,119869.4348
13-03-2020,2.461903883,427.7788973,21.3,228.4096011,8.788109862,92270.9538,4798.468835,0.347821769,7.773259307,0,102259.6366
14-03-2020,2.863053226,459.331532,18.2,286.58647,9.604815618,132344.725,6435.585023,0.451144881,7.942700336,0,122903.6774
15-03-2020,1.870082729,386.3281282,21.9,149.5906158,7.633310672,33006.42949,2496.287256,0.205944138,7.533674413,0,73842.90586
16-03-2020,2.715013461,451.1698306,23.1,269.9043901,9.337632883,117458.1862,5908.650156,0.420223907,7.887268233,0,116678.2015
17-03-2020,2.553428833,440.5249588,22,249.3088704,9.028944788,101258.3486,5294.997692,0.382879138,7.82322506,0,109188.5602
18-03-2020,2.475922524,436.1876023,23.2,240.4865717,8.888429457,93466.29693,5017.694904,0.366557345,7.794072501,0,105903.4914
19-03-2020,2.585643122,445.8934677,23.3,257.877695,9.122379766,104396.9021,5489.326438,0.397044773,7.84260991,0,111980.2495
20-03-2020,2.100078211,410.9536862,24.1,191.9299006,8.165766589,55798.93496,3579.832933,0.278712409,7.644142446,0,88293.03873
21-03-2020,2.541698398,445.5531155,23.7,255.7884712,9.06352683,99919.46825,5379.087097,0.392177,7.830399757,0.5,110965.2142
22-03-2020,2.696259302,458.6229892,24.1,279.458592,9.387167434,115334.0765,6030.101709,0.433876543,7.897545111,0,119284.3817
23-03-2020,2.981917727,481.5246293,24.6,321.4816128,9.972997696,143858.4519,7205.494255,0.508349333,8.019086659,0,134158.2063
24-03-2020,2.516381857,448.0857124,25.7,258.3360783,9.056429696,97263.42577,5376.087786,0.395021511,7.828927323,0,111471.9221
25-03-2020,2.461962766,445.4791311,26.6,252.744937,8.962081273,91780.11727,5191.11688,0.384469937,7.809352961,0,109340.9078
26-03-2020,2.551391445,453.6592731,27,267.2899272,9.155410124,100681.6381,5581.49582,0.409876457,7.849462681,0,114401.5382
27-03-2020,2.908407803,481.906195,28,319.2940358,9.883891771,136341.9912,7042.174556,0.502175143,8.000599952,0,132840.6341
28-03-2020,2.782477152,473.9293592,26.4,303.6818077,9.646452563,123707.7202,6571.004679,0.473731421,7.951338706,0,127131.2867
29-03-2020,2.590994833,461.0329814,26.4,278.8879922,9.277878904,104518.3712,5837.557899,0.428893227,7.874871142,0,118143.0892
30-03-2020,2.857745495,482.5004764,26,318.2418439,9.825735832,131152.4215,6936.963196,0.498605823,7.988534405,0,132065.1004
31-03-2020,2.772782274,477.5853961,25.6,308.3502063,9.67012536,122615.1965,6629.423501,0.480381597,7.956250075,0,128399.8039
01-04-2020,2.782585936,532.5795941,27.3,312.7328106,10.13507603,124129.547,5588.688496,0.443451174,8.118297706,0,121280.7115
02-04-2020,2.392139694,505.490685,29.1,260.0750054,9.374503536,85052.41071,4043.281437,0.348237372,7.961430051,0,102221.6953
03-04-2020,2.494515063,515.3553251,26.7,276.4048526,9.599499527,95257.55529,4469.10059,0.376220155,8.009033775,0,107802.0555
04-04-2020,2.491082285,517.2756342,25.5,277.9135937,9.612798483,94882.01416,4471.622073,0.377741373,8.012713267,0,108090.1675
05-04-2020,2.244919927,500.9818597,26.7,245.431639,9.140551569,70233.65394,3503.15535,0.318569964,7.915653142,0,96239.82345
06-04-2020,2.680983098,535.8449924,29.6,308.4521168,10.03266305,113807.9949,5263.516056,0.429944004,8.101650696,31,118498.6432
07-04-2020,2.684464363,538.2538349,28.7,310.9014016,10.05951213,114124.3029,5293.469677,0.433160933,8.10812873,4.1,119126.1198
08-04-2020,2.63465163,536.6543439,28.6,305.8792195,9.979668738,109111.3782,5110.163095,0.423042034,8.092466627,14,117086.5144
09-04-2020,2.588686828,535.3315311,28.6,301.384862,9.907410868,104483.4233,4942.159305,0.413872098,8.078373248,7.9,115236.7898
10-04-2020,2.315851317,516.9808688,29.1,265.1171449,9.381295411,77168.58329,3866.579047,0.347970777,7.970113241,0,102040.8812
